src,dst,count
userId_17559,userId_19363,1
userId_34470,userId_19363,1
userId_10282,userId_19363,2
userId_3561,userId_19363,8
userId_29448,userId_19363,1
userId_30583,userId_19363,2
userId_9320,userId_19363,1
userId_1527,userId_19363,1
userId_1780,userId_19363,2
userId_22582,userId_19363,7
userId_3724,userId_19363,2
userId_17396,userId_19363,1
userId_18576,userId_19363,1
userId_4902,userId_19363,9
userId_35177,userId_19363,1
userId_33861,userId_19363,1
userId_31763,userId_19363,3
userId_2871,userId_19363,1
userId_2314,userId_19363,1
userId_22277,userId_19363,1
userId_10921,userId_19363,1
userId_7602,userId_19363,1
userId_23842,userId_19363,2
userId_31691,userId_19363,2
userId_9259,userId_19363,1
userId_11247,userId_19363,2
userId_17687,userId_19363,1
userId_16937,userId_19363,1
userId_17028,userId_19363,5
userId_31817,userId_19363,1
userId_3137,userId_19363,2
userId_16721,userId_19363,2
userId_22994,userId_19363,1
userId_6606,userId_19363,1
userId_32449,userId_19363,2
userId_11427,userId_19363,1
userId_16260,userId_19363,1
userId_18080,userId_19363,2
userId_22725,userId_19363,1
userId_30207,userId_19363,1
userId_21834,userId_19363,2
userId_5313,userId_19363,2
userId_13238,userId_19363,1
userId_22249,userId_19363,2
userId_29876,userId_19363,1
userId_1985,userId_19363,1
userId_27452,userId_19363,1
userId_30399,userId_19363,1
userId_27652,userId_19363,1
userId_5445,userId_19363,8
userId_23063,userId_19363,2
userId_10283,userId_19363,3
userId_30857,userId_19363,3
userId_4428,userId_19363,1
userId_994,userId_19363,8
userId_6010,userId_19363,3
userId_14805,userId_19363,1
userId_35267,userId_19363,1
userId_590,userId_19363,1
userId_18246,userId_19363,8
userId_6018,userId_19363,2
userId_2210,userId_19363,1
userId_34952,userId_19363,1
userId_37031,userId_19363,1
userId_6647,userId_19363,1
userId_33769,userId_19363,1
userId_13456,userId_19363,3
userId_4449,userId_19363,1
userId_7157,userId_19363,1
userId_20064,userId_19363,1
userId_20758,userId_19363,2
userId_9196,userId_19363,1
userId_17510,userId_19363,2
userId_20484,userId_19363,1
userId_17849,userId_19363,4
userId_30736,userId_19363,1
userId_30316,userId_19363,1
userId_3547,userId_19363,2
userId_22436,userId_19363,2
userId_2072,userId_19363,1
userId_31130,userId_19363,4
userId_10641,userId_19363,3
userId_17444,userId_19363,1
userId_15009,userId_19363,1
userId_31567,userId_19363,1
userId_33852,userId_19363,2
userId_19087,userId_19363,1
userId_9302,userId_19363,1
userId_22471,userId_19363,1
userId_25792,userId_19363,1
userId_34940,userId_19363,3
userId_30564,userId_19363,2
userId_5958,userId_19363,3
userId_36032,userId_19363,2
userId_24020,userId_19363,1
userId_19749,userId_19363,1
userId_24494,userId_19363,3
userId_33999,userId_19363,1
userId_37448,userId_19363,3
userId_6969,userId_19363,1
userId_30073,userId_19363,1
userId_27758,userId_19363,2
userId_23376,userId_19363,3
userId_18824,userId_19363,1
userId_35190,userId_19363,2
userId_7647,userId_19363,2
userId_4747,userId_19363,1
userId_4469,userId_19363,2
userId_14663,userId_19363,2
userId_4192,userId_19363,1
userId_11987,userId_19363,4
userId_36451,userId_19363,1
userId_23194,userId_19363,1
userId_29783,userId_19363,1
userId_22803,userId_19363,1
userId_27593,userId_22330,1
userId_18718,userId_22330,1
userId_12106,userId_22330,1
userId_16115,userId_22330,1
userId_20326,userId_22330,5
userId_32732,userId_22330,1
userId_1009,userId_22330,2
userId_15311,userId_22330,4
userId_13779,userId_22330,1
userId_17482,userId_22330,1
userId_36573,userId_22330,1
userId_17912,userId_22330,56
userId_11043,userId_22330,1
userId_35533,userId_22330,1
userId_10374,userId_22330,1
userId_18182,userId_22330,12
userId_21563,userId_22330,1
userId_15406,userId_22330,1
userId_12765,userId_22330,1
userId_805,userId_22330,2
userId_19532,userId_22330,1
userId_27273,userId_22330,5
userId_38788,userId_22330,4
userId_29911,userId_22330,2
userId_28928,userId_22330,2
userId_10298,userId_22330,1
userId_25376,userId_22330,2
userId_23320,userId_22330,1
userId_37602,userId_22330,1
userId_15352,userId_22330,9
userId_32075,userId_22330,1
userId_15066,userId_22330,1
userId_15770,userId_22330,3
userId_36475,userId_22330,1
userId_18852,userId_22330,1
userId_13455,userId_22330,1
userId_4908,userId_22330,1
userId_17537,userId_22330,1
userId_39707,userId_22330,1
userId_1725,userId_22330,1
userId_19901,userId_22330,1
userId_3939,userId_22330,1
userId_31019,userId_22330,1
userId_9072,userId_22330,1
userId_1860,userId_22330,1
userId_37720,userId_22330,1
userId_23113,userId_22330,1
userId_18561,userId_22330,2
userId_5591,userId_22330,5
userId_17413,userId_22330,21
userId_10278,userId_22330,2
userId_21382,userId_22330,1
userId_13898,userId_22330,18
userId_33286,userId_22330,2
userId_27343,userId_22330,1
userId_27552,userId_22330,1
userId_38505,userId_22330,11
userId_35100,userId_22330,1
userId_10441,userId_22330,1
userId_9041,userId_22330,1
userId_17144,userId_22330,1
userId_27174,userId_22330,1
userId_32736,userId_22330,1
userId_24427,userId_22330,1
userId_21826,userId_22330,1
userId_14178,userId_22330,5
userId_33023,userId_22330,1
userId_22970,userId_22330,1
userId_22651,userId_22330,1
userId_10609,userId_22330,1
userId_14534,userId_22330,1
userId_28492,userId_22330,1
userId_1285,userId_22330,2
userId_30020,userId_22330,10
userId_28259,userId_22330,1
userId_12556,userId_22330,1
userId_28820,userId_22330,1
userId_31585,userId_22330,1
userId_37134,userId_22330,7
userId_14377,userId_22330,4
userId_10218,userId_22330,2
userId_25941,userId_22330,3
userId_13014,userId_22330,15
userId_7354,userId_22330,1
userId_38050,userId_22330,11
userId_20051,userId_22330,3
userId_17990,userId_22330,5
userId_17455,userId_22330,2
